,gbifID,vernacularName,identifier
0,1846740155,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/PHZ/RUH/PHZRUHHR7HBZLL2ZQLVZIL5ZRLOH7HOH0L5ZQL8Z8H2Z5HTH5HZRUHJHNHFH4LNZ8LYH5LAZ6HAHMH4Z4H8ZLL4ZLL.jpg
1,1846740225,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/MHT/HGH/MHTHGHDH6H6ZML5Z0L6ZZL6ZZLNZXL9Z2H3H6HZRILZR8HPZHLUZ8LLREHRREHNZ4LJHNH1ZPHVZ9HNZZLPZLLEZZL.jpg
2,1846740240,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/EKK/K9K/EKKK9KSKAK6QJ01QY09QRSBQZSVQVK8KLSIKOKBQF01QDK5KAKBQY09QA0LKA0KKUKKK6KRKPK0KO0RKWKKKA0PQT0GQ.jpg
3,1846794735,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/D0G/QV0/D0GQV08QLSLKDKXK6KHK2KGQ106QRSUQAK5KZS7KAKXKLSWQOKVQO06QT0VQOKKKWKQKPKGQA0PQUKKK6K6QHS.jpg
4,1846949895,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/5ZQ/L2Z/5ZQL2Z0LUZ4HYHIHBH2HJHUHLRWHAZUHJH5LRRNHZR7LZR6HWZ4LJHILNZ6HFH2HZR9HCH9H1Z8LPZ4HEZLL2ZKLGZXL.jpg
5,1847133860,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/CQ4/0JQ/CQ40JQ50Z0ZQCRFKURJK9RYK3QFKNRFK9RRQJQJKTQ3K3QRQCQJKNRKQZ0I09R0QCRP0CRQQFRIQQ0QQTRMQOR20.jpg
6,1847133865,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/OLK/ZAL/OLKZALSZ9LGRJZQRYZ0R3ZSR3ZMRDZYL9LMR9L3LTZ3L2LXRTZLZWLJLCZLZ3ZFLWLXR0HGRTL7Z0H4R0H7RELSR.jpg
7,1847133870,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/A02/QO0/A02QO0PQJ0QKAKRKBKIKEKIKHSVQJ0IKOKWQTK4KOKGKCK9QRSAQJ0AQOK8KBKXKOK4KJ09QBK9QF0GKDKUQY05Q.jpg
8,1847133875,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/JRK/QCR/JRKQCRSQAR60JQ50JQ40TQM0TQJKCQG0YQM03QU0Q0IQYRP0S0QQQ060ORYKORMQ1RM0YQRQURM0YQX0UR0QL0E0YR.jpg
9,1847133880,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/Y01/QRS/Y01QRSAQB04KPKIK1KGK1K7K1K4KHS4KOK8KF0IKVK9QA05QD0HK2KSK9KEQA04QC08QO04QT06QB0EQEKMK30VQCK.jpg
10,1847133885,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/JZK/RCZ/JZKRCZSR0H3LOLLZ2LSZALQZOLPRHHSRJZJLDZ0RPLYLOZYLPLLZOZMR3Z7RCZ4RLHXZHHQZOLPRVLXZKHXZALMZSH.jpg
11,1847133890,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/TLQ/ZBL/TLQZBL0ZUL4RYZ7RSH7ROZQRDZSRYZQR2L0RPLFLUL0RUL7ZULXZQHKZ1LMZ0H5RKH5RKH6RVLSZ1L2RSH5ROZYLPL.jpg
12,1847133895,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/IQO/RSQ/IQORSQCRRQR050TQ40TQI0Z0P000IQH0XQJRQQWRFKFQU000W0S0SQQ020DQM0OQLQJQG0S0E0007QYR90L0M0URYK.jpg
13,1847133900,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/BKG/KTK/BKGKTK8KPKVQB05QT05QC05QB0SKEKMKLSVQF0MKZS7K1KUQ1K9QZS1QHSAQOKAQRSNQ1KNQF08KNKLKO06QD0BQBK.jpg
14,1847133905,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/8ZK/L6Z/8ZKL6ZSL9ZGHJH6HBH6H3HNHRRXLLRILHR7LWZXLAZGLLR8LFHGLRRXL9ZGLWZ2HAHXH3H6HVZKLGZHLCHLL8ZZLVH.jpg
15,1847133910,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/DHX/HVH/DHXHVHMHLRLLBZ0LEZLLGZXLWZ6HNZNHTHWHVZQLEZIHEZHLPZGHAH8HAHMH1HSLPZ5LJH6HYH7LWZILLRPHUZHL4Z.jpg
16,1847133915,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/6LR/ZWL/6LRZWLLZ1LMRHHERKH8RLH5RKHXZ1LSZOLSZSHIZTLZZ6LQRYZKRFZ6RKHIRFZ2R3ZFLELIR9LLZNLYLELMRDZ7RCZ.jpg
17,1847133920,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/VLM/ZDL/VLMZDLXZ2L2RTZKRFZXR0H2RRH0Z0HXRNLYL2L0ZRHKZEL3LDZGR1LSZLHIZCLSZBLERRH2RSH7R2LLZELYLOZYLWL.jpg
18,1847133925,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/0QF/RMQ/0QFRMQYRJKQ0X0YQ503QM0DQM0URG0CQ50K020K0N0CRP0YR0QORYKCQ60YR90H0IQL0W0S00QK050FQX0FQ90K0KQ.jpg
19,1847133930,(Eastern)_black_carpenter_ant,https://bugguide.net/images/cache/IL1/Z4L/IL1Z4LAZRLRRIHBH4HDHXHDH5H1HQL1ZPHWZPHWZZLVH7HFHUHFHWHVZPH9Z5LWZZLAH2HHRIL3H7LNZNHFHXH5Z5H.jpg
20,1846743535,(Immigrant)_Pavement_Ant,https://bugguide.net/images/cache/KQJ/R7Q/KQJR7Q3RFKS0I0JQN0Z0E0Q060TRMQFRMQDRKQWRHQTQE0FRKQWRQQCRQQH0P03RRQJQFKARXQS0P000P0DR0Q3RMQ.jpg
